LatLong,nearest MRT,Count,travel time to RP in minutes
"1.3819169455989,103.87980371499",Tongkang,39,62
"1.36428542444529,103.89046790222",Kovan,17,50
"1.37143736463902,103.881261079192",Hougang,18,59
"1.36551226123746,103.892085472745",Hougang,23,54
"1.35277219646669,103.890098621423",Kovan,9,55
"1.36984770803551,103.883701202398",Hougang,25,60
"1.37051387277512,103.882323502346",Hougang,19,57
"1.36566993618767,103.894847770847",Hougang,17,52
"1.37205269626364,103.886531403839",Hougang,16,51
"1.3750613898604,103.886910503596",Hougang,8,53
"1.36665999438856,103.895009698642",Hougang,9,50
"1.36424598368903,103.89147765714",Hougang,19,52
"1.36709855359263,103.896978678668",Hougang,19,52
"1.36680910838232,103.895756047165",Hougang,27,53
"1.3522029527063,103.880173191904",Serangoon,25,46
"1.37002545723867,103.89857229481",Hougang,16,55
"1.37297840284804,103.88567915953",Hougang,8,54
"1.36476465177918,103.894218784179",Hougang,8,55
"1.3693032100873,103.898351173028",Hougang,13,53
"1.36710131174973,103.898278016767",Hougang,11,52
"1.37123297855584,103.88691800304",Hougang,13,50
"1.36706142659908,103.888077255516",Hougang,17,53
"1.37217287844953,103.884645831522",Hougang,19,59
"1.35020505529481,103.887911495156",Kovan,14,59
"1.36840583194353,103.897820383869",Hougang,15,50
"1.34975825362257,103.886810075583",Bartley,25,58
"1.3761286530375,103.894831285996",Hougang,10,49
"1.3742877202562,103.879678550369",Hougang,8,55
"1.37752721065187,103.893597449085",Buangkok,12,51
"1.37670290100056,103.888277047979",Hougang,11,54
"1.35265338944725,103.880292681446",Serangoon,11,46
"1.3791181914496,103.894290896452",Buangkok,15,53
"1.3692978923853,103.883826832419",Hougang,23,62
"1.37409413946214,103.895312625321",Hougang,15,46
"1.37910882988371,103.895204612287",Buangkok,6,51
"1.35302664004115,103.882887594334",Kovan,17,51
"1.37994979000929,103.89043869276",Buangkok,18,58
"1.37190788342411,103.897012927498",Hougang,17,48
"1.37036355618575,103.889999645495",Hougang,12,46
"1.37637123592055,103.883519603693",Hougang,8,59
"1.37849281015329,103.884016382567",Buangkok,12,62
"1.37822993629766,103.879696313869",Tongkang,15,55
"1.37356291019462,103.879184657596",Hougang,11,54
"1.38237375846968,103.880954583346",Tongkang,25,64
"1.38003167141738,103.879413572555",Tongkang,18,58
"1.3782707248829,103.88748509864",Buangkok,15,61
"1.37751893484514,103.883567990888",Hougang,11,59
"1.37797175687345,103.888099473331",Buangkok,6,60
"1.37599795530797,103.884075780007",Hougang,5,58
"1.37031263468239,103.88512562936",Hougang,9,61
"1.37669129401398,103.879790524049",Hougang,9,56
"1.37608587509748,103.881497898906",Hougang,8,57
"1.3771713742984,103.895401018469",Buangkok,9,55
"1.35113637322024,103.889168968814",Kovan,13,54
"1.34966436735423,103.88630211152",Bartley,2,57
"1.37251992138059,103.897005554551",Hougang,6,48
"1.3629903786532,103.890463932896",Kovan,14,52
"1.37273622417586,103.894629349778",Hougang,7,43
"1.37348307053932,103.879777763575",Hougang,9,54
"1.37782273276389,103.890323214074",Buangkok,8,52
"1.36956178513922,103.880507506392",Kovan,10,56
"1.3729650974742,103.895673302556",Hougang,21,46
"1.36564903485076,103.888263962373",Kovan,16,51
"1.31900921124333,103.747433142313",Jurong East,26,55
"1.32052026841644,103.742651512921",Jurong East,6,54
"1.34202424550408,103.739009746539",Chinese Garden,13,46
"1.34265327777661,103.739976995418",Chinese Garden,17,50
"1.3411274954664,103.738101187795",Chinese Garden,18,44
"1.35055495259482,103.73002911041",Chinese Garden,15,53
"1.34374104685927,103.741478764585",Chinese Garden,19,51
"1.31902239271028,103.746691863405",Jurong East,22,54
"1.34318835786153,103.73678575382",Chinese Garden,27,43
"1.33789037717129,103.742428065764",Jurong East,15,40
"1.33979148822906,103.735502765561",Chinese Garden,11,41
"1.33701100762294,103.738787314099",Jurong East,25,38
"1.33866911059386,103.740292528065",Jurong East,27,48
"1.34953251705686,103.731532178493",Chinese Garden,16,51
"1.32149903397958,103.738982186646",Jurong East,15,58
"1.3476665757372,103.73257867693",Chinese Garden,8,50
"1.33920981490513,103.735824423107",Chinese Garden,12,43
"1.33908506817905,103.74705803294",Jurong East,9,43
"1.34820836305368,103.733799342203",Chinese Garden,9,50
"1.35013988623409,103.729936587391",Chinese Garden,18,53
"1.34691464537256,103.732174273854",Chinese Garden,19,47
